"DEPT_KEY","DEPT_NM","SPECIALTY","DEPT_ABBR","DEPT_GRP","DEPT_CNTR","REV_LOC_KEY"
"8713","PSYCH CONSULT LIAISON",NA,"CAP",NA,NA,NA
"4953","CSH BH COPING CLINIC","BEHAVIORAL HEALTH SERVICES","COPC",NA,"CHILDREN SEASHORE HOUSE CENTER","682"
"22811","BCC BH AUDIOLOGY","BEHAVIORAL HEALTH SERVICES","BCCBH",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","682"
"28311","ABINGTON HEALTH CLINIC","GENERAL PEDIATRICS","AHCC",NA,NA,"1211"
"14812","MAIN CLINICAL LAB","CLINICAL LABORATORY","CLAB",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"6818","PB MAIN GA NORA GI STE","GENERAL ANESTHESIA","GANORAGISTE",NA,NA,"687"
"5007","ZZADOLESCENT/FAMILY PLN","ADOLESCENT","ADO",NA,NA,"619"
"5026","PB MAIN CCM PCU","CRITICAL CARE","CCMPCU",NA,NA,"687"
"5145","PNJ-OP PHY THERAPY","CHILD DEVELOPMENT","DPT",NA,NA,"612"
"4722","OUTPATIENT PSYCHOLOGY","CHILD DEVELOPMENT","MOP",NA,NA,"674"
"5022","WOOD BONE HEALTH","ENDOCRINOLOGY","WBH",NA,"RICHARD D WOOD CENTER","688"
"16811","PENNCARE LIMERICK","GENERAL PEDIATRICS","PCL",NA,NA,"1211"
"15511","MAIN LIPID HEART","CARDIOLOGY","WLH",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","688"
"23417","KOP ADOL SPC CARE","ADOLESCENT","KOPAD",NA,"KING OF PRUSSIA SCC","688"
"4979","CSH 4 EAST",NA,"R4ES",NA,NA,"657"
"5298","MAIN ED DIAG RADIOLOGY",NA,"MEDDR",NA,NA,"-1"
"4897","KOP SMC ADOLESCENT","ADOLESCENT","MAD",NA,"KING OF PRUSSIA SPORTS MEDICINE CENTER","688"
"4921","LHV OP OCC THERAPY","CHILD DEVELOPMENT","LVOC",NA,NA,"651"
"5319","COATESVILLE CARE NTWK","GENERAL PEDIATRICS","KCO",NA,"CARE NETWORK COATESVILLE","683"
"25411","PB BCC SEDATION","GENERAL PEDIATRICS","PBBS",NA,NA,"688"
"5462","PB MAIN INTGRT CAR SV","GENERAL PEDIATRICS","WICS",NA,"RICHARD D WOOD CENTER","688"
"23913","PB MAIN COMPASS CARE","GENERAL PEDIATRICS","PBMCC",NA,NA,"688"
"12526","VIRT CAMDEN CT SCAN","RADIOLOGY","VTCCT",NA,"VIRTUA CAMDEN","689"
"4766","ONCOLOGY HOLDING","ONCOLOGY","ONW4",NA,"RICHARD D WOOD CENTER","681"
"5041","PB MAIN INFCTS DISEASE","INFECTIOUS DISEASE","MAIN ID",NA,NA,"688"
"5386","PB PA REHAB","REHAB MEDICINE","PA REHAB",NA,NA,"688"
"5209","PB CHCA BILLING OFFICE","OTHER","CHCABO",NA,NA,"688"
"29111","ATL ANES RESOURCE CTR","GENERAL ANESTHESIA","ATLRE",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","681"
"23413","BCC PET MR","RADIOLOGY","BCPT",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"5189","BUC DIAG RADIOLOGY","RADIOLOGY","BDR",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","681"
"5045","ASTHMA","PULMONARY","AST",NA,NA,"649"
"4803","MAIN DIALYSIS","NEPHROLOGY","DIA",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"4627","EXT INTENSIVE CASE MGT","PSYCHIATRY","EIC",NA,NA,"660"
"8721","VNJ JUV COURT EVAL SVC",NA,"VJC",NA,NA,NA
"33612","TRANSCRIBE ORDERS",NA,"TROR",NA,NA,"681"
"4636","7 WEST MHT",NA,"7WS",NA,NA,"681"
"5056","CSH BH FEEDING CENTER","BEHAVIORAL HEALTH SERVICES","BHFC",NA,"CHILDREN SEASHORE HOUSE CENTER","682"
"5323","LHV-OP DEV PEDS","CHILD DEVELOPMENT","LVOD",NA,NA,"651"
"5307","6 SOUTH TOWER",NA,"6ST",NA,NA,"681"
"28011","CONVENIENT CARE FM","GENERAL PEDIATRICS","CCFM",NA,NA,"1211"
"8912","ATL ENDOCRINOLOGY","ENDOCRINOLOGY","ATLE",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","685"
"8513","MKT 3550 AI","ADOLESCENT","MAI",NA,"MARKET STREET 3550","688"
"23611","PB LGH CARDIOLOGY","CARDIOLOGY","LGH CARD",NA,NA,"688"
"5199","PB MAIN CCM CICU","CRITICAL CARE","CCMCICU",NA,NA,"687"
"5321","W CHESTER CARE NTWK","GENERAL PEDIATRICS","KWC",NA,"CARE NETWORK WEST CHESTER","683"
"5204","PB MAIN ENDOCRINOLOGY","ENDOCRINOLOGY","MAIN ENDO",NA,NA,"688"
"5407","PB MAIN DERMATOLOGY","DERMATOLOGY","MAIN DERM",NA,NA,"688"
"5394","PB PA CT SURGERY","CARDIOVASCULAR SURGERY","PACTSURG",NA,NA,"678"
"23112","QUAKERBRIDGE PEDS","GENERAL PEDIATRICS","QP",NA,NA,"1211"
"9712","NEO INT H",NA,"NICH",NA,NA,"681"
"11111","PB HOUSE PHYSICIANS","GENERAL PEDIATRICS","PBHPHYS",NA,NA,"688"
"5483","PB NJ CHILD DEVELOPMNT","CHILD DEVELOPMENT","PNCD",NA,NA,"685"
"13611","CHOP MAIN OR",NA,"MAIN OR",NA,NA,"681"
"5322","EXT ALLERGY","ALLERGY","XALL",NA,"EXTON SPECIALTY CARE CENTER","688"
"5245","NEO INT F",NA,"NICF",NA,NA,"681"
"4791","EXT NUTRITION","GI/NUTRITION","XNUT",NA,"EXTON SPECIALTY CARE CENTER","681"
"8512","MKT 3550 SPC IMM FAM CARE","IMMUNOLOGY","MSI",NA,"MARKET STREET 3550","688"
"7816","PB VIRTUA MEM NEUR","NEUROLOGY","PB MEM NEUR",NA,NA,"685"
"12521","VIRT MARLTON CT SCAN","RADIOLOGY","VTMCT",NA,"VIRTUA MARLTON","689"
"5302","TEMPLE SCC ANCILLARY","MULTIDISCIPLINARY","TSCA",NA,"TEMPLE UNIVERSITY HOSPITAL","681"
"5316","ZZPRIMARY CARE CENTER-SP","GENERAL PEDIATRICS","PCCS",NA,NA,"643"
"5240","PB VNJ NEUROLOGY","NEUROLOGY","NJ NEURO",NA,NA,"685"
"5411","WOOD ANES PAIN MGMT","PAIN MANAGEMENT","NEW PAN",NA,"RICHARD D WOOD CENTER","687"
"16611","KOP HOME CARE","HOME CARE","KHC",NA,NA,"677"
"25311","INTEGRATIVE FOOD REACT","MULTIDISCIPLINARY","IFA",NA,"MARKET STREET 3550","688"
"14411","ALL STAR PEDIATRICS","GENERAL PEDIATRICS","ASP",NA,NA,"1211"
"26513","ADVOCARE WOOLWICH PEDS","GENERAL PEDIATRICS","AWP",NA,NA,"1211"
"5312","HUP FOLLOW UP PROGRAM","GENERAL PEDIATRICS","HUP",NA,NA,"624"
"4714","KOP OFF BASED AMB SERV","PSYCHIATRY","KOB",NA,NA,"660"
"8767","BRY ENDOCRINOLOGY",NA,"BEN",NA,NA,NA
"32811","BCC APHERESIS","HEMATOLOGY","BCAPH",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"4637","ATL SANCHEZ CARDIOLOGY","CARDIOLOGY","ATLS",NA,NA,"644"
"4983","MKT 3440 CHILD DEV","DEVELOPMENTAL PEDIATRICS","3DP",NA,"MARKET STREET 3440","688"
"4639","KOP DERMATOLOGY","DERMATOLOGY","KDER",NA,NA,"628"
"5111","CSH-IP DEV PEDS","CHILD DEVELOPMENT","JDP",NA,NA,"657"
"5098","GROWTH CENTER","ENDOCRINOLOGY","GRC",NA,NA,"649"
"25011","BWV UC LAB","CLINICAL LABORATORY","BWVUCL",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","681"
"15012","COLLEGEVILLE PEDS","GENERAL PEDIATRICS","COLP",NA,NA,"1211"
"27411","HUMAN MILK MGMT CENTER",NA,"HMMC",NA,NA,"681"
"7221","INP APNEA",NA,"INP APNEA",NA,NA,"681"
"5247","MKT 3440 BHIP","BEHAVIORAL HEALTH SERVICES","BHMS",NA,"MARKET STREET 3440","682"
"6815","PB MAIN CARD ANES ECHO","CARDIAC ANESTHESIA","CARDANESECHO",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","687"
"23111","PB BWV GEN ANES","GENERAL ANESTHESIA","BWVGENANES",NA,NA,"687"
"5152","NICU WEST",NA,"NICW",NA,NA,"674"
"5063","WOOD CCM RESP REHAB","CRITICAL CARE","RES",NA,"RICHARD D WOOD CENTER","687"
"4683","RCS-RSRCH PRIM CARE-SP","GENERAL PEDIATRICS","RSSP",NA,NA,"643"
"5466","UC LABORATORY","CLINICAL LABORATORY","ULBT",NA,"CARE NETWORK UNIVERSITY CITY","681"
"15711","TORRESDALE PEDIATRICS","GENERAL PEDIATRICS","TP",NA,NA,"1211"
"19612","THE PEDIATRIC GROUP","GENERAL PEDIATRICS","TPG",NA,NA,"1211"
"5370","PB NJ ALLERGY","ALLERGY","NJ ALLERGY",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","685"
"16812","PEDIATRIC MED ASSOC","GENERAL PEDIATRICS","PMH",NA,NA,"1211"
"11011","MAIN FETAL HEART","CARDIOLOGY","MFT",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","688"
"5287","LANKENAU CARDIOLOGY","CARDIOLOGY","LCD",NA,"LANKENAU HOSPITAL CENTER","688"
"7228","CHOP PHARMACY",NA,"Pharmacy",NA,NA,"681"
"5372","PB MAIN UROLOGY","UROLOGY","UROLOGY",NA,NA,"678"
"5387","VNJ SCC ANCILLARY","MULTIDISCIPLINARY","VSA",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","681"
"31411","SPECIAL NEEDS PRIMARY","GENERAL PEDIATRICS","SNPC",NA,NA,"1211"
"4750","VNJ UROLOGY","UROLOGY","VURO",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","676"
"4669","RCS-RSRCH DIS OF MUSCL","NEUROLOGY","RSDM",NA,NA,"-1"
"5060","RCS-RSRCH PRIM CARE-CC","GENERAL PEDIATRICS","RSPC",NA,NA,"-1"
"4883","ZZRESIDENT PRACTICE-39TH ST","GENERAL PEDIATRICS","MED3",NA,NA,"665"
"4810","PREP","NEUROLOGY","PRE",NA,NA,"649"
"5210","PNJ SCC ANCILLARY","MULTIDISCIPLINARY","PSA",NA,"PRINCETON NJ SPECIALTY CARE CENTER","681"
"5217","PB MAIN REHAB","REHAB MEDICINE","MAIN REHAB",NA,NA,"688"
"5000","NEWARK KF GEN PEDS","GENERAL PEDIATRICS","KNE",NA,"NEWARK KIDS FIRST GENERAL PEDIATRICS","683"
"10912","ABINGTON NEONATAL FOL","NEONATAL FOLLOWUP ","ABNF",NA,"ABINGTON SPECIALTY CARE CENTER","688"
"16711","CENTRAL TRIAGE PC   ","MULTIDISCIPLINARY","CTT",NA,"CARE NETWORK KARABOTS","681"
"5050","ATL UROLOGY","UROLOGY","ATU",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","676"
"5039","KOP MRI","RADIOLOGY","KMR",NA,"KING OF PRUSSIA SCC","681"
"5074","KOP JUV COURT EVAL SERV","PSYCHIATRY","KJC",NA,NA,"660"
"4758","MAIN DAY SURGERY","MULTIDISCIPLINARY","DS",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"4830","KOP PRE SCHOOL","PSYCHIATRY","KPR",NA,NA,"660"
"4988","KOP PED GEN THOR SURG","PEDIATRIC GENERAL THORACIC SURGERY","KOPG",NA,"KING OF PRUSSIA SCC","678"
"8719","VNJ FAM THERAPY TRAIN CTR",NA,"VFT",NA,NA,NA
"8751","WST WRAPAROUND",NA,"WRA",NA,NA,NA
"32712","FOOD MANAGEMENT CENTER",NA,"FMC",NA,NA,"681"
"32113","BCC CARE CLINIC","GENERAL PEDIATRICS","BCAR",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","688"
"5255","BUC BH UROLOGY","BEHAVIORAL HEALTH SERVICES","BBUR",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","682"
"5130","ATL-OP PSYCHOLOGY",NA,NA,NA,NA,"-1"
"5120","ATL BH DAY HOSPITAL","BEHAVIORAL HEALTH SERVICES","ADH",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","681"
"5014","3 SEDATION",NA,"3SED",NA,NA,"674"
"22722","BWV LABORATORY","CLINICAL LABORATORY","BWLAB",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","681"
"22723","BWV CHILD DEVELOPMENT","DEVELOPMENTAL PEDIATRICS","BWDP",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","688"
"8211","ABINGTON ENDOCRINOLOGY","ENDOCRINOLOGY","ABEN",NA,"ABINGTON SPECIALTY CARE CENTER","688"
"7229","INP GI          ","GASTROENTEROLOGY","INP GI",NA,NA,"681"
"7014","PB CTRC NEUROBEHAVIOR",NA,"CTRC NEURO",NA,NA,"711"
"5329","PNJ-CSH OP C2M2","CHILD DEVELOPMENT","DMC",NA,NA,"612"
"5072","KOP-CSH OP C2M2","CHILD DEVELOPMENT","LMC",NA,NA,"628"
"5168","LHV OP PHY THERAPY","CHILD DEVELOPMENT","LVPT",NA,NA,"651"
"4826","VNJ-CSH OP FEEDING","GASTROENTEROLOGY","VFD",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","664"
"12711","KARABOTS CHILD DEV","DEVELOPMENTAL PEDIATRICS","KCDV",NA,"CARE NETWORK KARABOTS","688"
"5461","KOP BH FEEDING","BEHAVIORAL HEALTH SERVICES","KBF",NA,"KING OF PRUSSIA SCC","682"
"4672","ATL BEHAVIORAL HEALTH","BEHAVIORAL HEALTH SERVICES","OATL",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","682"
"5179","CSH-IP REHAB MEDICINE","CHILD DEVELOPMENT","JRM",NA,NA,"657"
"17811","JUST KIDS PEDIATRICS","GENERAL PEDIATRICS","JKP",NA,NA,"1211"
"29812","PB VIRT VOOR NEUR RAD","NEURORADIOLOGY","VVN",NA,NA,"2921"
"5396","VNJ DIAG RADIOLOGY","RADIOLOGY","VDR",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","681"
"4996","TEEN MOTHER HEALTH 39TH","GENERAL PEDIATRICS","TMH",NA,NA,"665"
"4822","KOP PULMONARY","PULMONARY","LPU",NA,"KING OF PRUSSIA SCC","688"
"4913","KOP FAMILY INTERV PRG","PSYCHIATRY","KFI",NA,NA,"660"
"4972","SPR ANCILLARIES","OTHER","FAN",NA,NA,"611"
"4869","PNJ ANCILLARY","OTHER","DAN",NA,NA,"612"
"4735","SPR PED GEN THORACIC SURG","GENERAL SURGERY","FSU",NA,NA,"611"
"30411","IH ACUPUNCTURE","INTEGRATIVE HEALTH","IHACU",NA,"RICHARD D WOOD CENTER","3022"
"14011","ADVOCARE MAIN LINE","GENERAL PEDIATRICS","AMLP",NA,NA,"1211"
"5139","HEM/ONC DAY HOS WOOD4","ONCOLOGY","HEM4",NA,NA,"649"
"4674","CSH CEREBRAL PALSY","REHAB MEDICINE","JCP",NA,"CHILDREN SEASHORE HOUSE CENTER","688"
"8753","BRY CARDIOLOGY",NA,"BCA",NA,NA,NA
"8731","FI CSH",NA,"FICS",NA,NA,NA
"2","Operating Room Cardiac",NA,"ORC",NA,NA,NA
"8811","CHOP MAIN 7TH FLOOR",NA,"M7",NA,NA,NA
"4867","7 EAST",NA,"7ES",NA,NA,"674"
"4677","CSH BH ADHD","BEHAVIORAL HEALTH SERVICES","ACSH",NA,NA,"682"
"4993","FLOURTOWN CARE NTWK","GENERAL PEDIATRICS","KFF",NA,"CARE NETWORK FLOURTOWN","683"
"5304","CSH-IP VENTILATION","CHILD DEVELOPMENT","JVE",NA,NA,"657"
"24313","BCC SPINA BIFIDA","GENERAL PEDIATRICS","BCSB",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","688"
"11812","INP MENTAL HEALTH","BEHAVIORAL HEALTH SERVICES","INP MH",NA,NA,"681"
"29512","DELAWARE VALLEY PED","GENERAL PEDIATRICS","DVPA",NA,NA,"1211"
"5330","PNJ SANCHEZ CARDIOLOGY","CARDIOLOGY","DSA",NA,NA,"612"
"5122","ZZRESIDENT PRACTICE-34TH ST","GENERAL PEDIATRICS","MED",NA,NA,"624"
"5305","NEO INT C",NA,"NICC",NA,NA,"681"
"4767","SALEM ROAD CARE NTWK","GENERAL PEDIATRICS","KSA",NA,"CARE NETWORK SALEM ROAD","683"
"4945","S PHILA CARE NTWK","GENERAL PEDIATRICS","PCSP",NA,"CARE NETWORK SOUTH PHILA","686"
"4686","VNJ ADOLESCENT","ADOLESCENT","VADO",NA,NA,"664"
"8011","POTTSTOWN CARE NETWORK","GENERAL PEDIATRICS","PCN",NA,"CARE NETWORK POTTSTOWN","683"
"5350","SMITHVILLE CARE NTWK","GENERAL PEDIATRICS","KSM",NA,"CARE NETWORK SMITHVILLE","683"
"5474","MKT 3440 TESTING","BEHAVIORAL HEALTH SERVICES","MKTS",NA,"MARKET STREET 3440","682"
"5390","PB MAIN GENERAL PEDS","GENERAL PEDIATRICS","MAIN GEN *",NA,NA,"688"
"29818","PB VIRT VOOR BODY RAD","BODY RADIOLOGY","VVBR",NA,NA,"2921"
"23614","EMBASSY UAE",NA,"UAE",NA,NA,"1211"
"4857","LHV GENETICS","GENETICS","LVGE",NA,NA,"651"
"15912","KOP URG CARE DIAG RAD","RADIOLOGY","KPUCR",NA,"KOP URGENT CARE ","2421"
"8311","MKT 3550 SPEECH","SPEECH","MKSP",NA,"MARKET STREET 3550","681"
"5191","PB NJ CHCA BILLING","OTHER","NJ CHCA C*",NA,NA,"685"
"5237","PB MAIN ORTHOPEDICS","ORTHOPEDICS","PMORT",NA,NA,"678"
"4841","MAIN SEDATION UNIT","MULTIDISCIPLINARY","SED",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"4909","PNJ OTOLARYNGOLOGY","OTORHINOLARYNGOLOGY","DOT",NA,"PRINCETON NJ SPECIALTY CARE CENTER","676"
"5119","PNJ NEPHROLOGY","NEPHROLOGY","DNP",NA,NA,"612"
"5208","PB CASE RATE CSA","OTHER","CASERATEC*",NA,NA,"681"
"5310","6 WEST","GENERAL PEDIATRICS","6WS",NA,NA,"674"
"29411","ADVOCARE BROOMALL PEDS","GENERAL PEDIATRICS","ABMP",NA,NA,"1211"
"24311","BCC DAY MEDICINE","MULTIDISCIPLINARY","BCDM",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"8411","ABINGTON PED GEN THOR SURGERY","PEDIATRIC GENERAL THORACIC SURGERY","APGS",NA,"ABINGTON SPECIALTY CARE CENTER","678"
"4977","CSH PEDIATRIC REHAB","REHAB MEDICINE","JPR",NA,"CHILDREN SEASHORE HOUSE CENTER","688"
"4721","HAND","ORTHOPEDICS","HAN",NA,NA,"649"
"4895","ATL SPEECH THERAPY","SPEECH","ASP",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","681"
"8822","WOOD 6TH FLOOR",NA,"W6",NA,NA,NA
"33811","BCC ALLERGY","ALLERGY","BCCALL",NA,NA,"688"
"19718","BUC BEHAVIORAL HEALTH","BEHAVIORAL HEALTH SERVICES","BBH",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","682"
"31212","BWV BH GASTRO","BEHAVIORAL HEALTH SERVICES","BWBHG",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","682"
"21811","CONGRESO HEALTH CENTER","GENERAL PEDIATRICS","CHC",NA,NA,"1211"
"11711","MAIN BH CFDT","BEHAVIORAL HEALTH SERVICES","BHCF",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","682"
"12612","MKT 3550 BH HEALTHY WT","BEHAVIORAL HEALTH SERVICES","BHHW",NA,"MARKET STREET 3550","682"
"5251","WOOD BH ADOPTION","BEHAVIORAL HEALTH SERVICES","BHAD",NA,"RICHARD D WOOD CENTER","682"
"5094","SPR GASTROENTEROLOGY","GASTROENTEROLOGY","FGI",NA,"CROZIER SPRINGFIELD SPECIALTY CARE CENTER","688"
"4730","PNJ-CSH OP BBU","CHILD DEVELOPMENT","DBB",NA,NA,"612"
"4802","UC CARE NTWK","GENERAL PEDIATRICS","PCUC",NA,"CARE NETWORK UNIVERSITY CITY","686"
"5295","WOOD ADOPTION","GENERAL PEDIATRICS","WAD",NA,"RICHARD D WOOD CENTER","688"
"5413","PB VNJ GEN ANES","GENERAL ANESTHESIA","VNJGENANES",NA,NA,"680"
"5452","PB GRANDVIEW GEN PEDS","GENERAL PEDIATRICS","PGGP",NA,NA,"688"
"11712","KOP BH PULMONARY","BEHAVIORAL HEALTH SERVICES","KBP",NA,"KING OF PRUSSIA SCC","682"
"4938","BUC CARDIOLOGY","CARDIOLOGY","ICA",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","688"
"5123","EXT-OP C2M2","CHILD DEVELOPMENT","ZCM",NA,NA,"637"
"5303","LANKENAU SCC ANCILLARY","MULTIDISCIPLINARY","LSCA",NA,"LANKENAU HOSPITAL CENTER","681"
"5416","INTERPRETER DEPARTM*","OTHER","INT",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","679"
"4905","MAIN ULTRASOUND","RADIOLOGY","ULT",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"4976","EXT PULMONARY","PULMONARY","ZPU",NA,NA,"637"
"30311","PB 3550 MKT BODY RAD","RADIOLOGY","MKT BR",NA,NA,"689"
"16314","WOOD PLASTICS IMAGING","RADIOLOGY","WPLI",NA,"RICHARD D WOOD CENTER","678"
"4942","SPR ORTHOPEDICS","ORTHOPEDICS","FOR",NA,NA,"611"
"5408","PB CASE RATE CHCA","OTHER","CASERATEC*",NA,NA,"681"
"5192","PB CASE RATE CAA","OTHER","CASERATEC*",NA,NA,"681"
"30811","PB MKT CN NON PCP INTL","GENERAL PEDIATRICS","CNNONPCP",NA,NA,"688"
"22724","BWV ORTHOPEDICS","ORTHOPEDICS","BWORT",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","678"
"23419","BCC ONCOLOGY DAY HOSP","ONCOLOGY","BCOD",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"22012","BCC OTOLARYNGOLOGY","OTORHINOLARYNGOLOGY","BCCO",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","678"
"7711","ABINGTON PULMONARY","PULMONARY","ABP",NA,"ABINGTON SPECIALTY CARE CENTER","688"
"4819","ATL ANCILLARIES","OTHER","AANC",NA,NA,"644"
"32211","BCC BH CARDIAC KIDS","BEHAVIORAL HEALTH SERVICES","BCKBH",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","682"
"32116","BCC BH ADOPTION","BEHAVIORAL HEALTH SERVICES","BCHAD",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","682"
"32011","RAINBOW PEDIATRICS","GENERAL PEDIATRICS","RP2",NA,NA,"1211"
"4789","5 EAST",NA,"5ES",NA,NA,"681"
"4654","7NE PROGRESSIVE CARE","GENERAL PEDIATRICS","7NE",NA,NA,"681"
"4786","EXT BH ADHD","BEHAVIORAL HEALTH SERVICES","ADEX",NA,"EXTON SPECIALTY CARE CENTER","682"
"4629","CSH-OUTPATIENT PSYCHOLOGY","CHILD DEVELOPMENT","JPS",NA,NA,"657"
"4659","CHADDS FORD CARE NTWK","GENERAL PEDIATRICS","KCF",NA,"CARE NETWORK CHADDS FORD","683"
"4891","HEALTHY START-39TH ST","GENERAL PEDIATRICS","HLS3",NA,NA,"665"
"5134","ATL GASTROENTEROLOGY","GASTROENTEROLOGY","ATLG",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","685"
"8511","CSH ALLERGY FOOD CHALLENGES","ALLERGY","ALF",NA,"CHILDREN SEASHORE HOUSE CENTER","688"
"16411","BRYN MAWR HOSPITAL","GENERAL PEDIATRICS","BMHDuP",NA,NA,"1211"
"23211","ALL ABOUT CHILDREN","GENERAL PEDIATRICS","AACPP",NA,NA,"1211"
"8515","KOP CARE CLINIC I","GENERAL PEDIATRICS","KCC",NA,"KING OF PRUSSIA SCC","688"
"6511","MKT 3550 BH SPECIAL BABIES","BEHAVIORAL HEALTH SERVICES","BHSB",NA,"MARKET STREET 3550","682"
"4776","MAIN GI BREATH TEST","GASTROENTEROLOGY","BTL",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"4780","MAIN EMERGENCY DEPT","EMERGENCY","ED",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"5170","MEDIA CARE NTWK","GENERAL PEDIATRICS","KME",NA,"CARE NETWORK MEDIA","683"
"5233","PB MAIN GENETICS","GENETICS","PMGEN",NA,NA,"688"
"4824","ZZRESIDENT PRACTICE-SP","GENERAL PEDIATRICS","PRSP",NA,NA,"643"
"4675","RCS-RESEARCH GASTRO",NA,"RSGI",NA,NA,"-1"
"5336","VNJ FACULTY PRACTICE","GENERAL PEDIATRICS","VOP",NA,NA,"664"
"5427","PB NJ CARDIOLOGY","CARDIOLOGY","NJ CARDIO",NA,NA,"685"
"21011","PB MAIN GI LIVER TRANS","GASTROENTEROLOGY","PMLIV",NA,NA,"688"
"20611","LOCKMAN & LUBELL PEDS","GENERAL PEDIATRICS","LLPA",NA,NA,"1211"
"26212","MKT ADULT HEALTH CARE","GENERAL PEDIATRICS","MAHC",NA,"MARKET STREET 3550","688"
"4838","EXT DAY SURGERY","MULTIDISCIPLINARY","ZDS",NA,"EXTON SPECIALTY CARE CENTER","681"
"5205","KOP CT SCAN","RADIOLOGY","KCS",NA,"KING OF PRUSSIA SCC","681"
"19713","CHOP OSM","PHARMACY","OSM",NA,NA,"681"
"14911","KOP HEALTHY WEIGHT","GI/NUTRITION","KHWT",NA,"KING OF PRUSSIA SCC","688"
"5285","KOP PLASTIC SURGERY","PLASTIC SURGERY","KOPP",NA,"KING OF PRUSSIA SCC","678"
"5379","PB NJ CSA BILLING","OTHER","PB NJ CSA*",NA,NA,"676"
"20511","UNIV MED CTR PRINCETON","NEONATOLOGY","UMCP",NA,NA,"1211"
"29824","PB VIRT MEM NEURO RAD","NEURORADIOLOGY","VMN",NA,NA,"2921"
"13711","VIRT MEMORIAL CT SCAN","RADIOLOGY","VTMECT",NA,"VIRTUA MEMORIAL","689"
"10217","VIRTUA PULMONARY","PULMONARY","VTPM",NA,"VIRTUA SPECIALTY CARE CENTER","685"
"5164","VNJ ORTHOPEDICS","ORTHOPEDICS","VORT",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","676"
"5227","PB PA NEUROLOGY","NEUROLOGY","PPNEU",NA,NA,"688"
"23511","PB BCC NEURO RADIOLOGY","NEURORADIOLOGY","BCCNEURORAD",NA,NA,"689"
"5349","EXT FAMILY BASED PROGRAM","PSYCHIATRY","EFB",NA,NA,"660"
"24318","BCC SMC PHY THERAPY","PHYSICAL THERAPY","BCSMPT",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"5160","ATL ORTHOPEDICS","ORTHOPEDICS","ATO",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","676"
"4948","CYSTIC FIBROSIS","PULMONARY","CF",NA,NA,"649"
"4846","EXT DAY TREAT PA","PSYCHIATRY","EDP",NA,NA,"660"
